#    iter       q 
     0 1.8594603015
     1 1.7964905183e+00 1.0000000000e+00
     3 1.7029253707e+00 9.9800190795e-01
     5 1.6341633183e+00 9.9600780810e-01
     7 1.6196614620e+00 9.9401769246e-01
     9 1.5868468982e+00 9.9203155307e-01
    11 1.5585670875e+00 9.9004938199e-01
    13 1.4662527037e+00 9.8807117129e-01
    15 1.3918455260e+00 9.8609691306e-01
    17 1.3896950260e+00 9.8412659940e-01
    19 1.4639897222e+00 9.8216022243e-01
    21 1.4637155382e+00 9.8019777429e-01
    23 1.4631221063e+00 9.7823924711e-01
    25 1.5194144603e+00 9.7628463308e-01
    27 1.5182362345e+00 9.7433392437e-01
    29 1.5182362345e+00 9.7238711318e-01
    31 1.4563166210e+00 9.7044419172e-01
    33 1.4485760240e+00 9.6850515222e-01
    35 1.3698917212e+00 9.6656998692e-01
    37 1.2907843001e+00 9.6463868808e-01
    39 1.3644787405e+00 9.6271124798e-01
    41 1.3639904753e+00 9.6078765891e-01
    43 1.3636928156e+00 9.5886791318e-01
    45 1.3636404571e+00 9.5695200310e-01
    47 1.3398490344e+00 9.5503992101e-01
    49 1.3396330752e+00 9.5313165926e-01
    51 1.3392300067e+00 9.5122721022e-01
    53 1.3214175199e+00 9.4932656627e-01
    55 1.2531158765e+00 9.4742971981e-01
    57 1.2199090748e+00 9.4553666326e-01
    59 1.2197432208e+00 9.4364738903e-01
    61 1.2181484088e+00 9.4176188958e-01
    63 1.1824958505e+00 9.3988015735e-01
    65 1.1826180231e+00 9.3800218483e-01
    67 1.1795409562e+00 9.3612796451e-01
    69 1.1799309161e+00 9.3425748887e-01
    71 1.1791134776e+00 9.3239075045e-01
    73 1.1765820577e+00 9.3052774178e-01
    75 1.1964119613e+00 9.2866845539e-01
    77 1.1953398157e+00 9.2681288387e-01
    79 1.1985309258e+00 9.2496101978e-01
    81 1.1980781600e+00 9.2311285572e-01
    83 1.1978159018e+00 9.2126838429e-01
    85 1.1920856191e+00 9.1942759811e-01
    87 1.2016431925e+00 9.1759048983e-01
    89 1.1547242774e+00 9.1575705210e-01
    91 1.1538958128e+00 9.1392727758e-01
    93 1.1477773261e+00 9.1210115894e-01
    95 1.1120501807e+00 9.1027868890e-01
    97 1.0704700318e+00 9.0845986015e-01
    99 1.0698611053e+00 9.0664466543e-01
   101 1.0699700837e+00 9.0483309747e-01
   103 1.0571852448e+00 9.0302514902e-01
   105 1.0377212971e+00 9.0122081285e-01
   107 1.0373598198e+00 8.9942008175e-01
   109 1.0324550378e+00 8.9762294852e-01
   111 1.0323789074e+00 8.9582940596e-01
   113 1.0319855307e+00 8.9403944690e-01
   115 1.0498932700e+00 8.9225306418e-01
   117 1.0489516441e+00 8.9047025065e-01
   119 1.0502381239e+00 8.8869099919e-01
   121 1.0486101857e+00 8.8691530268e-01
   123 1.0492657048e+00 8.8514315401e-01
   125 1.0793889823e+00 8.8337454610e-01
   127 1.0742658595e+00 8.8160947186e-01
   129 1.0793889823e+00 8.7984792425e-01
   131 1.0895871485e+00 8.7808989621e-01
   133 1.1187437592e+00 8.7633538071e-01
   135 1.1194037556e+00 8.7458437074e-01
   137 1.1168774179e+00 8.7283685929e-01
   139 1.1119886609e+00 8.7109283937e-01
   141 1.1118317399e+00 8.6935230400e-01
   143 1.1119189710e+00 8.6761524623e-01
   145 1.1118317399e+00 8.6588165910e-01
   147 1.1125060300e+00 8.6415153567e-01
   149 1.1134773855e+00 8.6242486904e-01
   151 1.1134881149e+00 8.6070165229e-01
   153 1.1110137090e+00 8.5898187853e-01
   155 1.0771791361e+00 8.5726554088e-01
   157 1.0777034830e+00 8.5555263247e-01
   159 1.0479299911e+00 8.5384314646e-01
   161 1.0485953639e+00 8.5213707600e-01
   163 1.0550216282e+00 8.5043441427e-01
   165 1.0547207766e+00 8.4873515447e-01
   167 1.0487209445e+00 8.4703928978e-01
   169 1.0489767178e+00 8.4534681344e-01
   171 1.0723512045e+00 8.4365771867e-01
   173 1.0703673173e+00 8.4197199871e-01
   175 1.0966003127e+00 8.4028964682e-01
   177 1.0931002143e+00 8.3861065627e-01
   179 1.1170127217e+00 8.3693502035e-01
   181 1.1166780065e+00 8.3526273235e-01
   183 1.0991905897e+00 8.3359378559e-01
   185 1.0857517947e+00 8.3192817338e-01
   187 1.0745007963e+00 8.3026588907e-01
   189 1.0743560876e+00 8.2860692600e-01
   191 1.0741252155e+00 8.2695127754e-01
   193 1.0734684653e+00 8.2529893708e-01
   195 1.0676624319e+00 8.2364989799e-01
   197 1.0674853419e+00 8.2200415368e-01
   199 1.0631753411e+00 8.2036169757e-01
   201 1.0633158716e+00 8.1872252309e-01
   203 1.0767643431e+00 8.1708662369e-01
   205 1.0546457943e+00 8.1545399281e-01
   207 1.0651825189e+00 8.1382462393e-01
   209 1.0653563270e+00 8.1219851054e-01
   211 1.0651827075e+00 8.1057564612e-01
   213 1.0652867501e+00 8.0895602418e-01
   215 1.0533092519e+00 8.0733963826e-01
   217 1.0530205050e+00 8.0572648187e-01
   219 1.0529924439e+00 8.0411654857e-01
   221 1.0545986688e+00 8.0250983192e-01
   223 1.0534506657e+00 8.0090632550e-01
   225 1.0517271806e+00 7.9930602288e-01
   227 1.0514515147e+00 7.9770891766e-01
   229 1.0543860558e+00 7.9611500347e-01
   231 1.0582872439e+00 7.9452427392e-01
   233 1.0351330495e+00 7.9293672265e-01
   235 1.0582872439e+00 7.9135234331e-01
   237 1.0351330495e+00 7.8977112956e-01
   239 1.0456334922e+00 7.8819307507e-01
   241 1.0454821982e+00 7.8661817355e-01
   243 1.0454198219e+00 7.8504641867e-01
   245 1.0455448318e+00 7.8347780417e-01
   247 1.0460108231e+00 7.8191232376e-01
   249 1.0417468816e+00 7.8034997118e-01
   251 1.0437520858e+00 7.7879074019e-01
   253 1.0399883694e+00 7.7723462454e-01
   255 1.0400385002e+00 7.7568161801e-01
   257 1.0399099437e+00 7.7413171439e-01
   259 1.0398056514e+00 7.7258490748e-01
   261 1.0402109169e+00 7.7104119109e-01
   263 1.0406624135e+00 7.6950055905e-01
   265 1.0607454541e+00 7.6796300519e-01
   267 1.0608872603e+00 7.6642852337e-01
   269 1.0306008632e+00 7.6489710745e-01
   271 1.0375268730e+00 7.6336875129e-01
   273 1.0274731610e+00 7.6184344880e-01
   275 1.0276866146e+00 7.6032119386e-01
   277 1.0276848005e+00 7.5880198039e-01
   279 1.0108976704e+00 7.5728580231e-01
   281 1.0028272312e+00 7.5577265355e-01
   283 1.0026928053e+00 7.5426252807e-01
   285 1.0032067827e+00 7.5275541982e-01
   287 1.0040328314e+00 7.5125132277e-01
   289 1.0038920570e+00 7.4975023092e-01
   291 1.0024627979e+00 7.4825213824e-01
   293 1.0027338182e+00 7.4675703876e-01
   295 1.0022504724e+00 7.4526492649e-01
   297 1.0021970380e+00 7.4377579546e-01
   299 1.0019622747e+00 7.4228963972e-01
   301 1.0079450385e+00 7.4080645331e-01
   303 1.0070845645e+00 7.3932623032e-01
   305 1.0078121234e+00 7.3784896481e-01
   307 1.0065734724e+00 7.3637465088e-01
   309 1.0064717923e+00 7.3490328264e-01
   311 1.0059366225e+00 7.3343485419e-01
   313 1.0058554595e+00 7.3196935966e-01
   315 1.0119758829e+00 7.3050679319e-01
   317 1.0152623490e+00 7.2904714893e-01
   319 1.0182697842e+00 7.2759042104e-01
   321 1.0058384852e+00 7.2613660369e-01
   323 1.0058347763e+00 7.2468569108e-01
   325 1.0048774049e+00 7.2323767739e-01
   327 1.0050522355e+00 7.2179255683e-01
   329 1.0051514598e+00 7.2035032363e-01
   331 1.0045403953e+00 7.1891097201e-01
   333 1.0059686209e+00 7.1747449622e-01
   335 1.0061176817e+00 7.1604089050e-01
   337 1.0066272597e+00 7.1461014914e-01
   339 1.0067372670e+00 7.1318226639e-01
   341 1.0060588349e+00 7.1175723656e-01
   343 1.0154538790e+00 7.1033505394e-01
   345 1.0152189119e+00 7.0891571284e-01
   347 1.0106874121e+00 7.0749920759e-01
